id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,retFlight_id,retFlight_origin.name,retFlight_origin.displayCode,retFlight_destination.name,retFlight_destination.displayCode,retFlight_durationInMinutes,retFlight_departure,retFlight_arrival,retFlight_name,retFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13542-2306020845--32356-0-9828-2306021145|9828-2306041230--32356-0-13542-2306041335,13542-2306020845--32356-0-9828-2306021145,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T08:45:00,2023-06-02T11:45:00,easyJet,8623,9828-2306041230--32356-0-13542-2306041335,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T12:30:00,2023-06-04T13:35:00,easyJet,8622,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,348.22
13465-2306021325--32480-0-9828-2306021605|9828-2306041725--32356-0-13771-2306041820,13465-2306021325--32480-0-9828-2306021605,London City,LCY,Berlin Brandenburg,BER,100,2023-06-02T13:25:00,2023-06-02T16:05:00,British Airways,8493,9828-2306041725--32356-0-13771-2306041820,Berlin Brandenburg,BER,London Luton,LTN,115,2023-06-04T17:25:00,2023-06-04T18:20:00,easyJet,2604,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,463.8
13542-2306020845--32356-0-9828-2306021145|9828-2306040710--32480-0-13554-2306040815,13542-2306020845--32356-0-9828-2306021145,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T08:45:00,2023-06-02T11:45:00,easyJet,8623,9828-2306040710--32480-0-13554-2306040815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T07:10:00,2023-06-04T08:15:00,British Airways,981,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,348.89
13542-2306020640--32356-0-9828-2306020940|9828-2306040710--32480-0-13554-2306040815,13542-2306020640--32356-0-9828-2306020940,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T06:40:00,2023-06-02T09:40:00,easyJet,8629,9828-2306040710--32480-0-13554-2306040815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T07:10:00,2023-06-04T08:15:00,British Airways,981,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,326.89
13542-2306021930--32356-0-9828-2306022230|9828-2306040710--32480-0-13554-2306040815,13542-2306021930--32356-0-9828-2306022230,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T19:30:00,2023-06-02T22:30:00,easyJet,8627,9828-2306040710--32480-0-13554-2306040815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T07:10:00,2023-06-04T08:15:00,British Airways,981,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,366.89
13554-2306021640--32480-0-9828-2306021935|9828-2306042055--32480-0-13554-2306042155,13554-2306021640--32480-0-9828-2306021935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T16:40:00,2023-06-02T19:35:00,British Airways,986,9828-2306042055--32480-0-13554-2306042155,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T20:55:00,2023-06-04T21:55:00,British Airways,995,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,406.48
13771-2306021420--32356-0-9828-2306021710|9828-2306041650--32480-0-13465-2306041740,13771-2306021420--32356-0-9828-2306021710,London Luton,LTN,Berlin Brandenburg,BER,110,2023-06-02T14:20:00,2023-06-02T17:10:00,easyJet,2603,9828-2306041650--32480-0-13465-2306041740,Berlin Brandenburg,BER,London City,LCY,110,2023-06-04T16:50:00,2023-06-04T17:40:00,British Airways,8494,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,633.49
13465-2306021325--32480-0-9828-2306021605|9828-2306041805--32356-0-13542-2306041910,13465-2306021325--32480-0-9828-2306021605,London City,LCY,Berlin Brandenburg,BER,100,2023-06-02T13:25:00,2023-06-02T16:05:00,British Airways,8493,9828-2306041805--32356-0-13542-2306041910,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T18:05:00,2023-06-04T19:10:00,easyJet,8626,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,463.8
16574-2306020800--31915-0-9828-2306021040|9828-2306041505--31915-0-16574-2306041555,16574-2306020800--31915-0-9828-2306021040,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T08:00:00,2023-06-02T10:40:00,Ryanair,145,9828-2306041505--31915-0-16574-2306041555,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-04T15:05:00,2023-06-04T15:55:00,Ryanair,146,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,413.0
13554-2306021030--32480-0-9828-2306021325|9828-2306040710--32480-0-13554-2306040815,13554-2306021030--32480-0-9828-2306021325,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T10:30:00,2023-06-02T13:25:00,British Airways,992,9828-2306040710--32480-0-13554-2306040815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T07:10:00,2023-06-04T08:15:00,British Airways,981,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,298.48
13554-2306020650--32480-0-9828-2306020940|9828-2306041650--32480-0-13465-2306041740,13554-2306020650--32480-0-9828-2306020940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T06:50:00,2023-06-02T09:40:00,British Airways,990,9828-2306041650--32480-0-13465-2306041740,Berlin Brandenburg,BER,London City,LCY,110,2023-06-04T16:50:00,2023-06-04T17:40:00,British Airways,8494,British Airways,True,available,4.0,4.502296,4.369832,4.994948,4.32844,2.792776,561.98
13465-2306020825--32480-0-9828-2306021110|9828-2306042125--31915-0-16574-2306042215,13465-2306020825--32480-0-9828-2306021110,London City,LCY,Berlin Brandenburg,BER,105,2023-06-02T08:25:00,2023-06-02T11:10:00,British Airways,8491,9828-2306042125--31915-0-16574-2306042215,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-04T21:25:00,2023-06-04T22:15:00,Ryanair,177,BudgetAir,False,available,3.12,3.290232,4.188584,4.737012,3.306508,1.940636,403.0
13465-2306021325--32480-0-9828-2306021605|9828-2306042055--32480-0-13554-2306042155,13465-2306021325--32480-0-9828-2306021605,London City,LCY,Berlin Brandenburg,BER,100,2023-06-02T13:25:00,2023-06-02T16:05:00,British Airways,8493,9828-2306042055--32480-0-13554-2306042155,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T20:55:00,2023-06-04T21:55:00,British Airways,995,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,401.42
13542-2306020640--32356-0-9828-2306020940|9828-2306041205--32356-0-13542-2306041310,13542-2306020640--32356-0-9828-2306020940,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T06:40:00,2023-06-02T09:40:00,easyJet,8629,9828-2306041205--32356-0-13542-2306041310,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T12:05:00,2023-06-04T13:10:00,easyJet,8630,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,326.22
16574-2306021515--31915-0-9828-2306021755|9828-2306041805--32356-0-13542-2306041910,16574-2306021515--31915-0-9828-2306021755,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T15:15:00,2023-06-02T17:55:00,Ryanair,176,9828-2306041805--32356-0-13542-2306041910,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T18:05:00,2023-06-04T19:10:00,easyJet,8626,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,425.4
13554-2306021045--32480-0-9828-2306021340|9828-2306041355--32480-0-13554-2306041455,13554-2306021045--32480-0-9828-2306021340,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T10:45:00,2023-06-02T13:40:00,British Airways,992,9828-2306041355--32480-0-13554-2306041455,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T13:55:00,2023-06-04T14:55:00,British Airways,993,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,542.17
13554-2306020840--32480-0-9828-2306021135|9828-2306041230--32356-0-13542-2306041335,13554-2306020840--32480-0-9828-2306021135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T08:40:00,2023-06-02T11:35:00,British Airways,982,9828-2306041230--32356-0-13542-2306041335,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T12:30:00,2023-06-04T13:35:00,easyJet,8622,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,439.82
13542-2306021930--32356-0-9828-2306022230|9828-2306041205--32356-0-13542-2306041310,13542-2306021930--32356-0-9828-2306022230,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-02T19:30:00,2023-06-02T22:30:00,easyJet,8627,9828-2306041205--32356-0-13542-2306041310,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-04T12:05:00,2023-06-04T13:10:00,easyJet,8630,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,366.22
13554-2306021640--32480-0-9828-2306021935|9828-2306042125--31915-0-16574-2306042215,13554-2306021640--32480-0-9828-2306021935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T16:40:00,2023-06-02T19:35:00,British Airways,986,9828-2306042125--31915-0-16574-2306042215,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-04T21:25:00,2023-06-04T22:15:00,Ryanair,177,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,475.99
13554-2306021030--32480-0-9828-2306021325|9828-2306041130--32480-0-13554-2306041235,13554-2306021030--32480-0-9828-2306021325,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-02T10:30:00,2023-06-02T13:25:00,British Airways,992,9828-2306041130--32480-0-13554-2306041235,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-04T11:30:00,2023-06-04T12:35:00,British Airways,983,British Airways,True,available,4.0,4.502296,4.369832,4.994948,4.32844,2.792776,507.48
13554-2306021310--32480-0-9828-2306021600|9828-2306042055--32480-0-13554-2306042155,13554-2306021310--32480-0-9828-2306021600,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-02T13:10:00,2023-06-02T16:00:00,British Airways,984,9828-2306042055--32480-0-13554-2306042155,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-04T20:55:00,2023-06-04T21:55:00,British Airways,995,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,417.48
13465-2306021830--32480-0-9828-2306022115|9828-2306041505--31915-0-16574-2306041555,13465-2306021830--32480-0-9828-2306022115,London City,LCY,Berlin Brandenburg,BER,105,2023-06-02T18:30:00,2023-06-02T21:15:00,British Airways,8495,9828-2306041505--31915-0-16574-2306041555,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-04T15:05:00,2023-06-04T15:55:00,Ryanair,146,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,465.99
13465-2306021325--32480-0-9828-2306021605|9828-2306042125--31915-0-16574-2306042215,13465-2306021325--32480-0-9828-2306021605,London City,LCY,Berlin Brandenburg,BER,100,2023-06-02T13:25:00,2023-06-02T16:05:00,British Airways,8493,9828-2306042125--31915-0-16574-2306042215,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-04T21:25:00,2023-06-04T22:15:00,Ryanair,177,lastminute.com,False,available,3.19,3.458948,4.154988,4.958956,3.172348,2.002892,464.98
16574-2306021515--31915-0-9828-2306021755|9828-2306041725--32356-0-13771-2306041820,16574-2306021515--31915-0-9828-2306021755,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-02T15:15:00,2023-06-02T17:55:00,Ryanair,176,9828-2306041725--32356-0-13771-2306041820,Berlin Brandenburg,BER,London Luton,LTN,115,2023-06-04T17:25:00,2023-06-04T18:20:00,easyJet,2604,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,425.4
13554-2306090840--32480-0-9828-2306091135|9828-2306111635--32480-0-13554-2306111730,13554-2306090840--32480-0-9828-2306091135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T08:40:00,2023-06-09T11:35:00,British Airways,982,9828-2306111635--32480-0-13554-2306111730,Berlin Brandenburg,BER,London Heathrow,LHR,115,2023-06-11T16:35:00,2023-06-11T17:30:00,British Airways,985,Booking.com,False,available,3.84,3.82584,4.339,4.985368,4.253968,2.974952,702.99
16574-2306090800--31915-0-9828-2306091040|9828-2306112055--32480-0-13554-2306112155,16574-2306090800--31915-0-9828-2306091040,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-09T08:00:00,2023-06-09T10:40:00,Ryanair,145,9828-2306112055--32480-0-13554-2306112155,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-11T20:55:00,2023-06-11T21:55:00,British Airways,995,Mytrip,False,available,3.26,3.721848,3.980652,4.857372,3.787184,1.70696,328.99
13554-2306091640--32480-0-9828-2306091935|9828-2306111725--32356-0-13771-2306111820,13554-2306091640--32480-0-9828-2306091935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T16:40:00,2023-06-09T19:35:00,British Airways,986,9828-2306111725--32356-0-13771-2306111820,Berlin Brandenburg,BER,London Luton,LTN,115,2023-06-11T17:25:00,2023-06-11T18:20:00,easyJet,2604,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,470.68
13771-2306091420--32356-0-9828-2306091710|9828-2306111230--32356-0-13542-2306111335,13771-2306091420--32356-0-9828-2306091710,London Luton,LTN,Berlin Brandenburg,BER,110,2023-06-09T14:20:00,2023-06-09T17:10:00,easyJet,2603,9828-2306111230--32356-0-13542-2306111335,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-11T12:30:00,2023-06-11T13:35:00,easyJet,8622,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,234.22
13554-2306090840--32480-0-9828-2306091135|9828-2306111130--32480-0-13554-2306111235,13554-2306090840--32480-0-9828-2306091135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T08:40:00,2023-06-09T11:35:00,British Airways,982,9828-2306111130--32480-0-13554-2306111235,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-11T11:30:00,2023-06-11T12:35:00,British Airways,983,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,603.99
13542-2306091930--32356-0-9828-2306092230|9828-2306111205--32356-0-13542-2306111310,13542-2306091930--32356-0-9828-2306092230,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-09T19:30:00,2023-06-09T22:30:00,easyJet,8627,9828-2306111205--32356-0-13542-2306111310,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-11T12:05:00,2023-06-11T13:10:00,easyJet,8630,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,246.22
13542-2306090845--32356-0-9828-2306091145|9828-2306111205--32356-0-13542-2306111310,13542-2306090845--32356-0-9828-2306091145,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-09T08:45:00,2023-06-09T11:45:00,easyJet,8623,9828-2306111205--32356-0-13542-2306111310,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-11T12:05:00,2023-06-11T13:10:00,easyJet,8630,easyJet,True,available,4.49,4.822104,4.68946,5.0,4.670344,3.769164,213.22
13554-2306091640--32480-0-9828-2306091935|9828-2306111355--32480-0-13554-2306111455,13554-2306091640--32480-0-9828-2306091935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T16:40:00,2023-06-09T19:35:00,British Airways,986,9828-2306111355--32480-0-13554-2306111455,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-11T13:55:00,2023-06-11T14:55:00,British Airways,993,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,598.9
13554-2306090650--32480-0-9828-2306090940|9828-2306112125--31915-0-16574-2306112215,13554-2306090650--32480-0-9828-2306090940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-09T06:50:00,2023-06-09T09:40:00,British Airways,990,9828-2306112125--31915-0-16574-2306112215,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-11T21:25:00,2023-06-11T22:15:00,Ryanair,177,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,284.88
13554-2306091940--32480-0-9828-2306092235|9828-2306110625--31915-0-16574-2306110715,13554-2306091940--32480-0-9828-2306092235,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T19:40:00,2023-06-09T22:35:00,British Airways,988,9828-2306110625--31915-0-16574-2306110715,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-11T06:25:00,2023-06-11T07:15:00,Ryanair,144,Mytrip,False,available,3.26,3.721848,3.980652,4.857372,3.787184,1.70696,273.99
13554-2306090840--32480-0-9828-2306091135|9828-2306112125--31915-0-16574-2306112215,13554-2306090840--32480-0-9828-2306091135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T08:40:00,2023-06-09T11:35:00,British Airways,982,9828-2306112125--31915-0-16574-2306112215,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-11T21:25:00,2023-06-11T22:15:00,Ryanair,177,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,694.28
13465-2306090825--32480-0-9828-2306091110|9828-2306110625--31915-0-16574-2306110715,13465-2306090825--32480-0-9828-2306091110,London City,LCY,Berlin Brandenburg,BER,105,2023-06-09T08:25:00,2023-06-09T11:10:00,British Airways,8491,9828-2306110625--31915-0-16574-2306110715,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-11T06:25:00,2023-06-11T07:15:00,Ryanair,144,eDreams,False,available,2.52,2.768108,3.758244,4.929244,2.447704,1.163112,213.99
13554-2306091640--32480-0-9828-2306091935|9828-2306111130--32480-0-13554-2306111235,13554-2306091640--32480-0-9828-2306091935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T16:40:00,2023-06-09T19:35:00,British Airways,986,9828-2306111130--32480-0-13554-2306111235,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-11T11:30:00,2023-06-11T12:35:00,British Airways,983,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,343.48
13554-2306091640--32480-0-9828-2306091935|9828-2306111805--32356-0-13542-2306111910,13554-2306091640--32480-0-9828-2306091935,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T16:40:00,2023-06-09T19:35:00,British Airways,986,9828-2306111805--32356-0-13542-2306111910,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-11T18:05:00,2023-06-11T19:10:00,easyJet,8626,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,489.99
13554-2306091310--32480-0-9828-2306091600|9828-2306110710--32480-0-13554-2306110815,13554-2306091310--32480-0-9828-2306091600,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-09T13:10:00,2023-06-09T16:00:00,British Airways,984,9828-2306110710--32480-0-13554-2306110815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-11T07:10:00,2023-06-11T08:15:00,British Airways,981,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,408.5
13542-2306091930--32356-0-9828-2306092230|9828-2306111650--32480-0-13465-2306111740,13542-2306091930--32356-0-9828-2306092230,London Gatwick,LGW,Berlin Brandenburg,BER,120,2023-06-09T19:30:00,2023-06-09T22:30:00,easyJet,8627,9828-2306111650--32480-0-13465-2306111740,Berlin Brandenburg,BER,London City,LCY,110,2023-06-11T16:50:00,2023-06-11T17:40:00,British Airways,8494,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,442.49
13554-2306090650--32480-0-9828-2306090940|9828-2306111635--32480-0-13554-2306111730,13554-2306090650--32480-0-9828-2306090940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-09T06:50:00,2023-06-09T09:40:00,British Airways,990,9828-2306111635--32480-0-13554-2306111730,Berlin Brandenburg,BER,London Heathrow,LHR,115,2023-06-11T16:35:00,2023-06-11T17:30:00,British Airways,985,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,383.4
16574-2306091515--31915-0-9828-2306091755|9828-2306111205--32356-0-13542-2306111310,16574-2306091515--31915-0-9828-2306091755,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-09T15:15:00,2023-06-09T17:55:00,Ryanair,176,9828-2306111205--32356-0-13542-2306111310,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-11T12:05:00,2023-06-11T13:10:00,easyJet,8630,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,231.7
16574-2306091515--31915-0-9828-2306091755|9828-2306112125--31915-0-16574-2306112215,16574-2306091515--31915-0-9828-2306091755,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-09T15:15:00,2023-06-09T17:55:00,Ryanair,176,9828-2306112125--31915-0-16574-2306112215,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-11T21:25:00,2023-06-11T22:15:00,Ryanair,177,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,261.0
13554-2306090650--32480-0-9828-2306090940|9828-2306111130--32480-0-13554-2306111235,13554-2306090650--32480-0-9828-2306090940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-09T06:50:00,2023-06-09T09:40:00,British Airways,990,9828-2306111130--32480-0-13554-2306111235,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-11T11:30:00,2023-06-11T12:35:00,British Airways,983,Worldairfares,False,available,3.6,3.649108,4.19036,5.0,4.12326,2.450304,276.48
13554-2306090840--32480-0-9828-2306091135|9828-2306111355--32480-0-13554-2306111455,13554-2306090840--32480-0-9828-2306091135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T08:40:00,2023-06-09T11:35:00,British Airways,982,9828-2306111355--32480-0-13554-2306111455,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-11T13:55:00,2023-06-11T14:55:00,British Airways,993,Booking.com,False,available,3.84,3.82584,4.339,4.985368,4.253968,2.974952,843.99
13554-2306090840--32480-0-9828-2306091135|9828-2306111805--32356-0-13542-2306111910,13554-2306090840--32480-0-9828-2306091135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T08:40:00,2023-06-09T11:35:00,British Airways,982,9828-2306111805--32356-0-13542-2306111910,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-11T18:05:00,2023-06-11T19:10:00,easyJet,8626,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,733.88
13771-2306091420--32356-0-9828-2306091710|9828-2306110710--32480-0-13554-2306110815,13771-2306091420--32356-0-9828-2306091710,London Luton,LTN,Berlin Brandenburg,BER,110,2023-06-09T14:20:00,2023-06-09T17:10:00,easyJet,2603,9828-2306110710--32480-0-13554-2306110815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-11T07:10:00,2023-06-11T08:15:00,British Airways,981,Expedia,False,available,2.48,2.149844,3.813268,4.996316,2.260028,1.713152,399.89
13554-2306091310--32480-0-9828-2306091600|9828-2306111505--31915-0-16574-2306111555,13554-2306091310--32480-0-9828-2306091600,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-09T13:10:00,2023-06-09T16:00:00,British Airways,984,9828-2306111505--31915-0-16574-2306111555,Berlin Brandenburg,BER,London Stansted,STN,110,2023-06-11T15:05:00,2023-06-11T15:55:00,Ryanair,146,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,517.78
13554-2306091030--32480-0-9828-2306091325|9828-2306112055--32480-0-13554-2306112155,13554-2306091030--32480-0-9828-2306091325,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T10:30:00,2023-06-09T13:25:00,British Airways,992,9828-2306112055--32480-0-13554-2306112155,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-11T20:55:00,2023-06-11T21:55:00,British Airways,995,Booking.com,False,available,3.84,3.82584,4.339,4.985368,4.253968,2.974952,536.99
16574-2306091035--31915-0-9828-2306091315|9828-2306112055--32480-0-13554-2306112155,16574-2306091035--31915-0-9828-2306091315,London Stansted,STN,Berlin Brandenburg,BER,100,2023-06-09T10:35:00,2023-06-09T13:15:00,Ryanair,147,9828-2306112055--32480-0-13554-2306112155,Berlin Brandenburg,BER,London Heathrow,LHR,120,2023-06-11T20:55:00,2023-06-11T21:55:00,British Airways,995,GotoGate,False,available,2.81,3.252464,3.701156,4.748664,3.54438,1.008108,391.99
13554-2306090650--32480-0-9828-2306090940|9828-2306111805--32356-0-13542-2306111910,13554-2306090650--32480-0-9828-2306090940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-09T06:50:00,2023-06-09T09:40:00,British Airways,990,9828-2306111805--32356-0-13542-2306111910,Berlin Brandenburg,BER,London Gatwick,LGW,125,2023-06-11T18:05:00,2023-06-11T19:10:00,easyJet,8626,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,348.38
13554-2306090840--32480-0-9828-2306091135|9828-2306111725--32356-0-13771-2306111820,13554-2306090840--32480-0-9828-2306091135,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T08:40:00,2023-06-09T11:35:00,British Airways,982,9828-2306111725--32356-0-13771-2306111820,Berlin Brandenburg,BER,London Luton,LTN,115,2023-06-11T17:25:00,2023-06-11T18:20:00,easyJet,2604,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,733.68
13554-2306090650--32480-0-9828-2306090940|9828-2306111725--32356-0-13771-2306111820,13554-2306090650--32480-0-9828-2306090940,London Heathrow,LHR,Berlin Brandenburg,BER,110,2023-06-09T06:50:00,2023-06-09T09:40:00,British Airways,990,9828-2306111725--32356-0-13771-2306111820,Berlin Brandenburg,BER,London Luton,LTN,115,2023-06-11T17:25:00,2023-06-11T18:20:00,easyJet,2604,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,311.98
13465-2306091830--32480-0-9828-2306092115|9828-2306111725--32356-0-13771-2306111820,13465-2306091830--32480-0-9828-2306092115,London City,LCY,Berlin Brandenburg,BER,105,2023-06-09T18:30:00,2023-06-09T21:15:00,British Airways,8495,9828-2306111725--32356-0-13771-2306111820,Berlin Brandenburg,BER,London Luton,LTN,115,2023-06-11T17:25:00,2023-06-11T18:20:00,easyJet,2604,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,338.92
13554-2306091940--32480-0-9828-2306092235|9828-2306110710--32480-0-13554-2306110815,13554-2306091940--32480-0-9828-2306092235,London Heathrow,LHR,Berlin Brandenburg,BER,115,2023-06-09T19:40:00,2023-06-09T22:35:00,British Airways,988,9828-2306110710--32480-0-13554-2306110815,Berlin Brandenburg,BER,London Heathrow,LHR,125,2023-06-11T07:10:00,2023-06-11T08:15:00,British Airways,981,Trip.com,False,available,3.91,3.85652,4.466256,4.992984,4.311396,3.03092,335.4
